Silicate_ID,Structure,E_ads,Area
FOR001_1,"{'numbers': [14, 8, 8, 8, 8, 12, 12, 12, 14, 14, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 12, 12, 8, 12, 12, 6], 'positions': [[6.50004625, 2.7199773, 5.0752992], [7.21000983, 2.00494883, 3.76727639], [2.03438813, 1.74750642, 6.38332143], [7.21001023, 2.00494861, 6.38332212], [4.9897114, 2.01210099, 5.07529941], [5.5245171, 5.48398508, 3.55899091], [3.22840893, 3.12064803, 5.07529907], [8.4040306, 5.44215044, 5.07529913], [6.50004625, 7.53032044, 5.0752992], [1.32442447, 5.84282123, 5.07529868], [9.0146454, 4.41012017, 3.35070618], [7.21000983, 6.81529198, 3.76727639], [2.03438813, 6.55784957, 6.38332143], [3.83902446, 4.15267816, 3.35070577], [7.21001023, 6.81529175, 6.38332212], [4.9897114, 6.82244414, 5.07529941], [10.16533334, 6.55069737, 5.07529862], [6.47548223, 4.34654882, 5.0752992], [1.29986054, 4.21624968, 5.07529875], [6.13000306, 6.87088745, 8.64929422], [5.97934606, 4.66130745, 7.83983723], [3.22840893, 7.93099118, 5.07529907], [8.4040306, 10.25249358, 5.07529913], [6.47548223, 9.15689196, 5.0752992], [10.70013946, 3.0788136, 6.59160676], [10.70013946, 7.88915675, 6.59160676], [6.05467406, 5.76609745, 8.24456522]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[-0.270887647250902, 178.331757184078, 3.40731381110398]",99.586068233384
FOR001_2,"{'numbers': [14, 8, 8, 12, 12, 12, 14, 8, 8, 8, 8, 8, 8, 8, 12, 12, 8, 8, 8, 8, 12, 14, 8, 8, 12, 6], 'positions': [[5.29003624, 1.90468554, 5.180592], [6.00000023, 1.18965685, 6.48861492], [3.7797014, 1.19680924, 5.18059221], [4.3145071, 4.66869332, 3.66428371], [2.01839893, 2.30535628, 5.18059187], [7.1940206, 4.62685868, 5.18059192], [5.29003624, 6.71502869, 5.180592], [7.8046354, 3.59482842, 3.45599898], [5.99999982, 6.00000022, 3.87256919], [0.82437812, 5.74255782, 6.48861423], [6.00000023, 6.0, 6.48861492], [3.7797014, 6.00715239, 5.18059221], [8.95532334, 5.73540561, 5.18059142], [5.26547223, 3.53125706, 5.180592], [2.01839893, 7.11569942, 5.18059187], [7.1940206, 9.43720183, 5.18059192], [6.00000023, 10.81034315, 6.48861492], [5.26547223, 8.34160021, 5.180592], [4.70663847, 4.95471557, 8.54400102], [6.83776047, 5.85143657, 8.08099602], [9.49012945, 2.26352185, 6.69689956], [10.46565822, 5.02752947, 5.18059148], [11.17562188, 5.74255782, 6.48861423], [10.44109429, 3.40095792, 5.18059155], [9.49012945, 7.07386499, 6.69689956], [5.77219947, 5.40307557, 8.31249802]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[-0.647672756950897, 175.552771498046, 2.77309559282496]",99.586068233384
FOR001_3,"{'numbers': [14, 12, 12, 12, 14, 14, 8, 8, 8, 8, 8, 8, 8, 8, 8, 12, 12, 12, 12, 14, 8, 8, 8, 8, 8, 8, 12, 6], 'positions': [[6.97552867, 1.18965685, 5.22804621], [5.99999952, 3.95366463, 3.71173792], [3.70389135, 1.59032759, 5.22804608], [8.87951302, 3.91182999, 5.22804613], [6.97552867, 6.0, 5.22804621], [1.79990689, 4.31250078, 5.22804569], [7.68549225, 5.28497153, 3.9200234], [2.50987055, 5.02752913, 6.53606844], [2.50987089, 5.02752924, 3.92002259], [7.68549265, 5.28497131, 6.53606913], [5.46519382, 5.2921237, 5.22804642], [10.64081577, 5.02037692, 5.22804562], [6.95096465, 2.81622837, 5.22804621], [4.82600558, 5.80563038, 8.46041023], [7.14182958, 6.24814438, 8.49654723], [0.82437812, 6.3588363, 6.74435377], [5.99999952, 8.76400778, 3.71173792], [3.70389135, 6.40067073, 5.22804608], [8.87951302, 8.72217314, 5.22804613], [6.97552867, 10.81034315, 5.22804621], [2.50987055, 9.83787227, 6.53606844], [4.31450688, 7.43270086, 3.50345277], [7.68549265, 10.09531446, 6.53606913], [5.46519382, 10.10246684, 5.22804642], [6.95096465, 7.62657152, 5.22804621], [1.77534296, 7.49627238, 5.22804576], [11.17562188, 6.3588363, 6.74435377], [5.98391758, 6.02688738, 8.47847923]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[-0.228105565952546, 178.793204640298, 3.60460413050243]",99.586068233384
FOR001_4,"{'numbers': [12, 14, 8, 8, 12, 12, 12, 14, 8, 8, 8, 8, 8, 8, 8, 8, 12, 8, 8, 12, 14, 8, 8, 8, 12, 12, 8, 6], 'positions': [[7.41545632, 3.08238917, 3.72636778], [3.21536421, 2.7235534, 5.242676], [3.92532819, 2.00852471, 6.55069892], [6.8806513, 1.74393032, 5.24267542], [7.41545632, 7.89273232, 3.72636778], [2.23983506, 5.48756117, 3.72636771], [5.11934856, 5.44572654, 5.24267592], [3.21536421, 7.53389654, 5.242676], [5.72996336, 4.41369627, 3.51808298], [3.92532779, 6.81886807, 3.93465319], [3.92532819, 6.81886785, 6.55069892], [1.70502936, 6.82602024, 5.24267621], [6.8806513, 6.55427346, 5.24267542], [3.19080019, 4.35012491, 5.242676], [5.38950245, 4.61857062, 8.47971102], [6.29892445, 6.79414262, 8.48191702], [5.11934856, 10.25606968, 5.24267592], [3.19080019, 9.16046806, 5.242676], [9.10094984, 1.75108252, 6.55069823], [7.41545742, 3.0823897, 6.75898356], [8.39098618, 5.84639732, 5.24267548], [9.10094984, 6.56142567, 6.55069823], [9.10095018, 6.56142578, 3.93465238], [8.36642225, 4.21982578, 5.24267555], [7.41545742, 7.89273284, 6.75898356], [10.29497064, 7.93456728, 5.24267587], [8.36642225, 9.03016892, 5.24267555], [5.84421345, 5.70635662, 8.48081402]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[-2.22074992155581, 126.025150031641, 1.35164049664126]",99.586068233384
FOR001_5,"{'numbers': [8, 14, 8, 8, 8, 12, 12, 12, 12, 14, 14, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 12, 12, 14, 8, 8, 8, 8, 6], 'positions': [[1.7050295, 5.9928478, 4.99614062], [8.39098615, 2.16212773, 4.99614121], [3.92532803, 1.18965685, 6.30416344], [9.10095014, 1.44709904, 6.30416413], [6.8806513, 1.45425143, 4.99614142], [2.23983561, 2.52096403, 6.51244877], [7.415457, 4.92613551, 3.47983292], [5.11934883, 2.56279846, 4.99614108], [10.2949705, 4.88430087, 4.99614113], [8.39098615, 6.97247087, 4.99614121], [3.21536438, 5.28497166, 4.99614069], [9.10094973, 6.25744241, 3.6881184], [3.92532803, 6.0, 6.30416344], [3.92532837, 6.00000011, 3.68811759], [5.72996437, 3.59482859, 3.27154777], [9.10095014, 6.25744218, 6.30416413], [6.8806513, 6.26459457, 4.99614142], [8.36642214, 3.78869925, 4.99614121], [3.19080045, 3.65840011, 4.99614076], [5.04678235, 5.23168078, 8.72845223], [6.80603835, 6.46404478, 7.75559023], [2.23983561, 7.33130718, 6.51244877], [5.11934883, 7.37314161, 4.99614108], [3.21536438, 10.0953148, 4.99614069], [3.92532803, 10.81034315, 6.30416344], [5.72996437, 8.40517174, 3.27154777], [8.36642214, 8.59904239, 4.99614121], [3.19080045, 8.46874325, 4.99614076], [5.92641035, 5.84786278, 8.24202123]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[-0.816661246554986, 178.590153651933, 3.0044859796488]",99.586068233384
FOR001_6,"{'numbers': [12, 12, 14, 8, 8, 8, 8, 8, 12, 12, 14, 8, 8, 8, 8, 8, 8, 8, 8, 14, 8, 12, 14, 8, 8, 12, 6], 'positions': [[8.01246672, 5.36613187, 3.51468528], [5.71635896, 2.91912608, 5.03099342], [3.81237461, 5.00729609, 5.0309935], [4.52233819, 4.29226762, 3.72297069], [4.52233859, 4.2922674, 6.33901642], [2.30203976, 4.29941979, 5.03099371], [7.47766171, 4.02767301, 5.03099292], [3.78781059, 1.82352446, 5.0309935], [2.83684546, 7.77130387, 3.51468521], [5.71635896, 7.72946923, 5.03099342], [3.81237461, 9.81763924, 5.0309935], [6.32697377, 6.69743896, 3.30640048], [4.52233819, 9.10261077, 3.72297069], [4.52233859, 9.10261055, 6.33901642], [2.30203976, 9.10976293, 5.03099371], [7.47766171, 8.83801616, 5.03099292], [3.78781059, 6.63386761, 5.0309935], [4.75244598, 6.33402085, 8.69359952], [6.85123198, 5.69591285, 7.82868352], [8.98799659, 3.31979687, 5.03099298], [9.69796024, 4.03482522, 6.33901573], [8.01246782, 5.36613239, 6.54730106], [8.98799659, 8.13014002, 5.03099298], [9.69796024, 8.84516836, 6.33901573], [8.96343266, 6.50356847, 5.03099305], [8.01246782, 10.17647554, 6.54730106], [5.80183898, 6.01496685, 8.26114152]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[-1.88336934785661, 129.009548351768, 1.45231663079359]",99.586068233384
FOR001_7,"{'numbers': [12, 8, 12, 12, 8, 14, 14, 8, 8, 8, 8, 12, 12, 12, 12, 14, 14, 8, 8, 8, 8, 8, 8, 8, 8, 8, 12, 12, 8, 6], 'positions': [[3.71749607, 4.04927762, 4.55137196], [3.18269105, 2.71081877, 6.0676796], [3.71749607, 8.85962077, 4.55137196], [1.42138831, 6.41261499, 6.06768011], [3.18269105, 7.52116191, 6.0676796], [9.86864771, 3.69044185, 6.06768018], [4.69302593, 2.00294263, 6.06767966], [5.40298959, 2.71797097, 7.37570242], [5.40298993, 2.71797108, 4.75965657], [10.57861169, 2.97541316, 7.37570311], [8.35831286, 2.98256554, 6.0676804], [3.71749716, 4.04927815, 7.58398775], [8.89311856, 6.45444962, 4.55137189], [6.59701039, 4.09111258, 6.06768005], [6.01360467, 6.49628355, 3.0350638], [9.86864771, 8.50078499, 6.06768018], [4.69302593, 6.81328577, 6.06767966], [5.40298959, 7.52831412, 7.37570242], [5.40298993, 7.52831423, 4.75965657], [7.20762592, 5.12314271, 4.34308675], [10.57861169, 7.7857563, 7.37570311], [8.35831286, 7.79290869, 6.0676804], [9.84408369, 5.31701336, 6.06768018], [4.668462, 5.18671423, 6.06767973], [4.98504108, 6.110538, 8.9649362], [7.00148908, 4.890901, 8.8837732], [3.71749716, 8.85962129, 7.58398775], [6.59701039, 8.90145573, 6.06768005], [4.668462, 9.99705737, 6.06767973], [5.99326508, 5.500719, 8.9243552]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[-0.634717007856352, 177.146129460436, 2.96303805577444]",99.586068233384
FOR001_8,"{'numbers': [12, 12, 14, 8, 8, 12, 12, 14, 8, 8, 8, 8, 8, 8, 8, 8, 14, 8, 12, 12, 14, 8, 8, 8, 12, 12, 8, 6], 'positions': [[7.41545632, 4.24961302, 3.47958178], [5.11934856, 1.80260723, 4.99588992], [3.21536421, 3.89077724, 4.99589], [3.92532819, 3.17574855, 6.30391292], [6.8806513, 2.91115416, 4.99588942], [7.41545632, 9.05995616, 3.47958178], [5.11934856, 6.61295038, 4.99588992], [3.21536421, 8.70112039, 4.99589], [5.72996336, 5.58092011, 3.27129698], [3.92532779, 7.98609192, 3.68786719], [3.92532819, 7.9860917, 6.30391292], [1.70502936, 7.99324408, 4.99589021], [6.8806513, 7.72149731, 4.99588942], [3.19080019, 5.51734876, 4.99589], [5.76685643, 7.26844403, 8.72870302], [7.01332243, 5.49925903, 7.79250202], [8.39098618, 2.20327802, 4.99588948], [9.10094984, 2.91830637, 6.30391223], [7.41545742, 4.24961354, 6.51219756], [10.29497064, 4.29144797, 4.99588987], [8.39098618, 7.01362117, 4.99588948], [9.10094984, 7.72864951, 6.30391223], [9.10095018, 7.72864962, 3.68786638], [8.36642225, 5.38704962, 4.99588955], [7.41545742, 9.05995669, 6.51219756], [10.29497064, 9.10179112, 4.99588987], [8.36642225, 10.19739277, 4.99588955], [6.39008943, 6.38385103, 8.26060202]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[-0.844582373550338, 174.490731746496, 2.74061917503921]",99.586068233384
FOR001_9,"{'numbers': [12, 14, 8, 8, 12, 12, 14, 8, 8, 8, 8, 8, 8, 8, 8, 12, 8, 8, 8, 12, 12, 14, 8, 8, 8, 12, 12, 14, 8, 6], 'positions': [[7.41545632, 2.88205378, 3.54439328], [3.21536421, 2.523218, 5.0607015], [3.92532819, 1.80818931, 6.36872442], [6.8806513, 1.54359492, 5.06070092], [7.41545632, 7.69239693, 3.54439328], [5.11934856, 5.24539114, 5.06070142], [3.21536421, 7.33356115, 5.0607015], [5.72996336, 4.21336088, 3.33610848], [3.92532779, 6.61853268, 3.75267869], [3.92532819, 6.61853246, 6.36872442], [1.70502936, 6.62568484, 5.06070171], [6.8806513, 6.35393807, 5.06070092], [3.19080019, 4.14978952, 5.0607015], [6.66421662, 4.73591871, 8.66389152], [6.62121762, 6.97829271, 7.93583052], [5.11934856, 10.05573429, 5.06070142], [5.72996336, 9.02370402, 3.33610848], [3.19080019, 8.96013267, 5.0607015], [9.10094984, 1.55074713, 6.36872373], [7.41545742, 2.8820543, 6.57700906], [10.29497064, 2.92388873, 5.06070137], [8.39098618, 5.64606193, 5.06070098], [9.10094984, 6.36109027, 6.36872373], [9.10095018, 6.36109038, 3.75267788], [8.36642225, 4.01949038, 5.06070105], [7.41545742, 7.69239745, 6.57700906], [10.29497064, 7.73423188, 5.06070137], [8.39098618, 10.45640508, 5.06070098], [8.36642225, 8.82983353, 5.06070105], [6.64271662, 5.85710571, 8.29986152]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[-0.723836746151619, 177.741843739427, 2.87414483446764]",99.586068233384
FOR001_10,"{'numbers': [12, 12, 14, 8, 8, 8, 8, 12, 14, 8, 8, 8, 8, 8, 8, 8, 8, 14, 8, 12, 12, 14, 8, 8, 8, 12, 6], 'positions': [[7.41545632, 4.81833106, 3.51822778], [5.11934856, 2.37132527, 5.03453592], [3.21536421, 4.45949528, 5.034536], [3.92532779, 3.74446681, 3.72651319], [3.92532819, 3.74446659, 6.34255892], [1.70502936, 3.75161898, 5.03453621], [6.8806513, 3.4798722, 5.03453542], [5.11934856, 7.18166842, 5.03453592], [3.21536421, 9.26983842, 5.034536], [5.72996336, 6.14963815, 3.30994298], [3.92532779, 8.55480996, 3.72651319], [3.92532819, 8.55480973, 6.34255892], [1.70502936, 8.56196212, 5.03453621], [6.8806513, 8.29021535, 5.03453542], [3.19080019, 6.0860668, 5.034536], [7.02634359, 6.40702625, 8.69005702], [4.87391259, 5.98190025, 7.82606902], [8.39098618, 2.77199606, 5.03453548], [9.10094984, 3.4870244, 6.34255823], [7.41545742, 4.81833158, 6.55084356], [10.29497064, 4.86016601, 5.03453587], [8.39098618, 7.58233921, 5.03453548], [9.10094984, 8.29736755, 6.34255823], [9.10095018, 8.29736766, 3.72651238], [8.36642225, 5.95576766, 5.03453555], [7.41545742, 9.62867473, 6.55084356], [5.95012859, 6.19446325, 8.25806302]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[-1.88156509685109, 129.331587660529, 1.4539197880032]",99.586068233384
